country,gymnast,dscore1,escore1,nd1,competition
GREAT BRITAIN,Claudia Fragapane,5.6,8.3,0,Paris Challenge Cup
GREAT BRITAIN,Claudia Fragapane,5.5,8.333,0.3,European Championships
GREAT BRITAIN,Claudia Fragapane,5.2,8.250,0.5,British Championships
CHINA,Yan Wang,5.7,7.933,0,Chinese National Games
UNITED STATES,Jade Carey,5.7,8.250,0,U.S. Classic
UNITED STATES,Jade Carey,5.6,8.450,0,American Classic
UNITED STATES,Jade Carey,5.8,8.300,0,U.S. Championships (P&Gs)
UNITED STATES,Jade Carey,5.8,8.600,0,U.S. Championships (P&Gs)
JAPAN,Sae Miyakawa,6.2,7.9,0,Japan Event Nationals
JAPAN,Mai Murakami,6.0,8.1,0.1,Japan Event Nationals
JAPAN,Mai Murakami,6.0,8.5,0,Japan Student Championships
CANADA,Brooklyn Moors,5.4,8.266,0.1,Szombathely Challenge Cup
CANADA,Brooklyn Moors,5.4,8.266,0,Pan American Championships
UNITED STATES,Ragan Smith,5.6,8.6,0,U.S. Championships (P&Gs)
UNITED STATES,Ragan Smith,5.7,8.650,0,U.S. Championships (P&Gs)
CANADA,Ellie Black,5.0,8.433,0,Summer Universiade
CANADA,Ellie Black,4.7,8.250,0.1,Koper Challenge Cup
